Année,Mois,Jour,Heure,Durée
2021,12,2,22:00:00,4
2021,12,9,22:00:00,4
2021,12,13,22:00:00,4
2021,12,22,22:00:00,4
2021,12,30,22:00:00,4
2022,1,1,20:00:00,4
2022,1,7,20:00:00,4
2022,1,15,20:00:00,4
2022,1,22,20:00:00,4
2022,1,29,20:00:00,4
2022,10,3,02:00:00,2
2022,10,3,04:00:00,2
2022,10,9,02:00:00,2
2022,10,9,04:00:00,2
2022,10,16,02:00:00,2
2022,10,16,04:00:00,2
2022,10,25,02:00:00,2
2022,10,25,04:00:00,2
2022,10,30,02:00:00,2
2022,10,30,04:00:00,2
2022,11,2,00:00:00,2
2022,11,2,02:00:00,2
2022,11,12,00:00:00,2
2022,11,12,02:00:00,2
2022,11,19,00:00:00,2
2022,11,19,02:00:00,2
2022,11,22,00:00:00,2
2022,11,22,02:00:00,2
2022,11,28,00:00:00,2
2022,11,28,02:00:00,2
2022,12,24,22:00:00,2
2022,12,26,22:00:00,2
2022,12,27,22:00:00,2
2022,12,30,22:00:00,2
2023,1,5,20:00:00,2
2023,1,7,20:00:00,2
2023,6,26,15:00:00,2
2023,9,19,04:00:00,2
2023,10,26,01:00:00,2
2023,10,30,01:00:00,2
2023,11,5,01:00:00,2
2023,11,7,01:00:00,2